# {"coordinate_unit":"bohr","format":"chemblender_grid_sample","grid_id":"9f539ed5-4473-42ac-ad09-c37c648f501a","grid_origin":[-6.130000114440918,-5.869999885559082,-6.070000171661377],"grid_revision":"ac799fc1e2c9555bb062d6910905bc6eb1f8c0e8363b58d2c6039a3f6dbcab1e","grid_shape":[45,45,45],"grid_step_vectors":[[0.2800000011920929,0.0,0.0],[0.0,0.2800000011920929,0.0],[0.0,0.0,0.2800000011920929]],"kind":"plane","provenance_ids":["9a43ce0f-c6fb-4ed7-a8c3-7d6072f169ab"],"sampling":{"counts":[97,97],"dataset_index":0,"origin":[-4.5,0.13,-4.5],"u_vector":[9.0,0.0,0.0],"v_vector":[0.0,0.0,9.0]},"semantic_role":"electrostatic_potential","source_calculation":null,"structure_id":"9a20aa19-f6e3-41a3-9c23-0fc2f631990b","value_unit":"hartree_per_elementary_charge","version":1}
x,y,z,distance,value,valid_mask,coordinate_unit,value_unit
-4.5,0.13,2.8125,,-0.0053328545097811085,1,bohr,hartree_per_elementary_charge
-4.5,0.13,2.90625,,-0.0048398045428488332,1,bohr,hartree_per_elementary_charge
-4.5,0.13,2.9999999999999991,,-0.0043971470495606998,1,bohr,hartree_per_elementary_charge
-4.5,0.13,3.09375,,-0.0039544895562725769,1,bohr,hartree_per_elementary_charge
-4.5,0.13,3.1875,,-0.0035230428272694631,1,bohr,hartree_per_elementary_charge
-4.5,0.13,3.2812499999999991,,-0.0031404425456847979,1,bohr,hartree_per_elementary_charge
-4.5,0.13,3.375,,-0.002757842264100141,1,bohr,hartree_per_elementary_charge
-4.5,0.13,3.46875,,-0.0023866503969015734,1,bohr,hartree_per_elementary_charge
-4.5,0.13,3.5625,,-0.00206109178832005,1,bohr,hartree_per_elementary_charge
-4.5,0.13,3.65625,,-0.0017355331797385333,1,bohr,hartree_per_elementary_charge
-4.5,0.13,3.75,,-0.001421194572660962,1,bohr,hartree_per_elementary_charge
-4.5,0.13,3.84375,,-0.001148229379434698,1,bohr,hartree_per_elementary_charge
-4.5,0.13,3.9375,,-0.00087526418620842883,1,bohr,hartree_per_elementary_charge
-4.5,0.13,4.03125,,-0.00061302410926988024,1,bohr,hartree_per_elementary_charge
-4.5,0.13,4.125,,-0.0003873753188753412,1,bohr,hartree_per_elementary_charge
-4.5,0.13,4.21875,,-0.00016172652848079748,1,bohr,hartree_per_elementary_charge
-4.5,0.13,4.3125,,5.3913421505012917e-05,1,bohr,hartree_per_elementary_charge
-4.5,0.13,4.40625,,0.00023785894661499616,1,bohr,hartree_per_elementary_charge
-4.5,0.13,4.5,,0.00042180447172498326,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-4.5,,-0.015926460815176419,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-4.40625,,-0.016289473021356103,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-4.3125,,-0.016669367398833537,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-4.21875,,-0.017052801543072246,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-4.125,,-0.017436235687310953,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-4.03125,,-0.017834805673227334,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-3.9375,,-0.01823625863923756,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-3.84375,,-0.018637711605247784,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-3.75,,-0.019051247125007279,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-3.65625,,-0.019466859304997957,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-3.5625,,-0.019882471484988631,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-3.46875,,-0.020305443693768719,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-3.375,,-0.020729548197849425,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-3.28125,,-0.021153652701930137,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-3.1875,,-0.021578347967320596,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-3.09375,,-0.022003123789771629,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-3,,-0.022427899612222663,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-2.90625,,-0.022844105220089381,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-2.8125,,-0.023259287536913614,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-2.71875,,-0.023674469853737841,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-2.625,,-0.024069291798304842,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-2.53125,,-0.024462017863770447,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-2.4375,,-0.024854743929236048,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-2.34375,,-0.025212663128642763,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-2.25,,-0.025567555712545625,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-2.1562500000000004,,-0.025922448296448478,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-2.0625,,-0.026225735972116339,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-1.96875,,-0.02652533768083646,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-1.8750000000000004,,-0.02682493938955658,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-1.78125,,-0.027054539542761817,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-1.6875,,-0.027280196074487773,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-1.5937500000000004,,-0.027505852606213726,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-1.5,,-0.027642782749440185,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-1.40625,,-0.027776016116508678,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-1.3125000000000004,,-0.027909249483577172,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-1.21875,,-0.027936461324151465,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-1.125,,-0.02796076864609243,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-1.0312500000000004,,-0.027985075968033409,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-0.9375,,-0.027889567910829954,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-0.84375,,-0.027792440924069226,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-0.75000000000000044,,-0.027695313733783235,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-0.65625,,-0.027470139722658559,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-0.5625,,-0.027244965711533883,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-0.46875,,-0.027018092990973647,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-0.375,,-0.026665530836545936,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-0.28125,,-0.026312968682118215,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-0.1875,,-0.025957234114965179,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,-0.09375,,-0.025485713460369191,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,0,,-0.025014192805773213,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,0.09375,,-0.024538539840399012,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,0.18749999999999911,,-0.023963715422752069,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,0.28125,,-0.023388891005105113,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,0.375,,-0.022809697080665582,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,0.46874999999999911,,-0.022152946774108864,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,0.5625,,-0.021496196467552138,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,0.65625,,-0.020835648267204701,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,0.74999999999999911,,-0.020121930857660866,1,bohr,hartree_per_elementary_charge
-4.40625,0.13,0.84375,,-0.01940821344811702,1,bohr,hartree_per_elementary_charge
